M0001|[Promotional Staff]
M1808|In the meantime, I should prepare myself for the meeting.
M1809|Hi! Did you give that Invitation to the Official?
M1810|Oh, goo to hear that it's delivered safely.
M1811|Anyway, what brings you here again?
M1812|Would you like some tea? We haven't got any dessert yet. I only have some tea to offer.
M1813|Help?
M1814|Well, there are tons of things waiting for help!
M1815|Nice Timing.
M1816|I've requested something from the Arunafeltz office but haven't gotten anything yet. Could you get it from Hansenne?
M1817|I need that for the meeting, but he never sends it to me. He must've forgotten about it, again! You'll help me with this, right!?
M1818|Huh? Are you serious???? Dropped it on a bridge while playing treasure hunting???
M1819|Hansenne! What and itiot! I knew it! His brain must've been melted with hot air!
M1820|Aarrrrr!!!!! Can't believe this!!
M1821|What the heck should I do??? The meesting's soon!!!
M1822|Oh my! I really, prefer to work alone. Oh, I hate those guys!
M1823|I hate foreigners.
M1824|.....Whew... completely soaked, so loosely binded...torn here and there... I can't even read this thing!
M1825|What is he expecting from me with this!!!!
M1826|Aarrrrr!!!!! This is a nightmare!
M1827|Hansenne! What and idiot! I knew it! His brain must've been melted with hot air!
M1828|...Oh, this is...
M1829|This is the document I requested.
M1830|I thought the document was lost at some bridge and ruined completely, but then...
M1831|Wow... this document is amazingly neat. Looks like Hue's the one who made this... He's really picky, if you know what I mean... Anyway, it's pretty impressive...
M1832|I'm so relieved I got this before the meeting. I've got to go now.
M1833|I'm running late.
M1834|But first, I have to find another document for the meeting. Could you please ask the Official to wait for me a bit?
M1835|Please, the meeting's gonna begin soon.
M1836|How could I go to the meeting without the research report??!
M1837|Could you please ask the Official to wait for me a bit?
M1838|I have to find another document for the meeting. Please, hurry.
M1839|Ah..... That... in that meeting room... Is.. everything alright now?
M1840|Oh, I need to be left alone for a while.
M1841|Krrrrrrrr! Ugh...!
M1842|Uhhhh...
M1843|I know, I know! I went too far!
M1844|I was just so shocked and disappointed at the same time.
M1845|After all, it was just a cake...
M1846|I wasn't very mature.
M1847|Oh, what have I done?
M1848|I should go an apologize.
M1849|Wait! Hue wanted me to bring this to you.
M1850|A report... ?
M1851|Ahhh... the one I left in the meeting room...
M1852|- Ryosen takes the report -
M1853|- and gives a glance -
M1854|- at the memo stuck on it. -
M1855|Oh. What are you talking about?
M1856|Ah. I'm so embarrassed.
M1857|Oh, I didn't expect to get an apology. This is such a shame.
M1858|Now that I think of it. I didn't even say 'thank you' to him for restoring my documents...
M1859|Ok. I should setup another meeting ASAP. That way, we'd have a chance to get to know each other.
M1860|So... Could you do me another favor?
M1861|Could you go see the Official in my stead and set up a meeting?
M1862|Oh! And... Here's Rune-Midgarts' fresh strawberry cake. This is for you. I'm so sorry I haven't even offered you a piece. I was so distracted with stress, I think.
M1863|Thank you so much for everything you've done. And... pleade don't forget to do me this last favor, going to the Official and setting up a meeting.
M1864|I... think I should prepare for the meeting again.
M1865|Again, thank you so much.
M1866|Thank you so much.
M1867|Ah, hello adventurer!
M1868|You can't imagine how greatful I feel!
M1869|Oh, but then... Have you ever seen a ^0000ffMystic Horn^000000? I'd love to get one.
M1870|I heard you can get this thing from a monster named, 'Cornus' found in the fields.
M1871|Or... do you have any ^0000ffMystic Horns^000000 with you? Of course, I'm not saying that I want it for free. If you'd give me ^0000ff2 Mystic Horns^000000, I'd give you my Rune-Midgarts' Strawberry Cake.
M1872|Mmmmmmm~
M1873|If by any chance you find one, please come back to me.
M1874|Huh?
M1875|You have Rune-Midgarts' Strawberry Cake?
M1876|How come you haven't had it yet?
M1877|You should quickly finish that cake or else, somebody would steal it from you.
M1878|I don't need it!
M1879|... Haha, I'm joking...
M1880|Are you really, honestly, positively sure you want to exchange them for my cake?
M1881|Ahhh...
M1882|Come back any time if you change your mind.
M1883|I heard you could extract some magical energy form Mystic Horns and use it. Anyway, thank you!
M1884|You lie! You don't even have any!!
M1885|Please, if you find any Mystic Horns, come back to me!
M1886|Please, don't touch anything!
M1887|You know somethig... Something comes out from this thing...
M1888|If anyone tried to talk to you in the middle of the night, you should just walk away... Don't ever look back!!
M1889|And don't stare at the crack of dimension... or you'd be dragged to somewhere mysterious and never be able to come back...huhuhuhu...
M1890|What is it you want?
M1891|Don't walk around this place without thinking.
M1892|After all, it'll be you who'd be in trouble.
M1893|You can't just come and go around as you please here. This is a restricted area.
M1894|You're just helpless, aren't you?
M1895|What's that?
M1896|...An invitation to the meeting... ?
M1897|Haha. You expect me to accept this?
M1898|As always, scheduling things as they want, report to us to accept it...
M1899|I can't think of any other words to describe them, except for this word: RUDE!
M1900|Never ever asking for our opinion and always delivering things through some strangers... By the way, no offense...
M1901|THey don't ever take the official route! Rune-Midgartish way of reporting! Very unprofessional!
M1902|Anyway, what is this meeting about?
M1903|Give it to me. I should read it at least.
M1904|You should have some Sand chips while I'm reading this. Don't expect any taste, it's from Arunafeltz.
M1905|What are you doing here?
M1906|You can't go around this place as you want. This is a restricted area.
M1907|...Meeting Schedule, on the Xth day, from hh:mm to hh:mm...
M1908|Location... Rune-Midgarts' camp...
M1909|Ha! I knew it. Rune-Midgarts' camp again!
M1910|Objectives... to report on the researching progress of tracking Satan Morocc and the Ash-Vacuum!
M1911|Having some time to get to know each other??? Haaaaa!
M1912|Well, thank you for entertaining me. You should tell Ryosen that.
M1913|Well, you should also tell him that I think he's very talented in settin up comedy. Hahaha.
M1914|... Sign this thing???
M1915|You mean this meeting's for real???
M1916|Oh my!
M1917|I have never seen an official invitation to be this stupid-looking!
M1918|- Hue got so furious and pressed the pen so hard that the ball point got pushed in. Then he threw the document after signing it. -
M1919|Well, at least I respect that Ryosen hasn't forgotten the reporting order. So, you're off to Arunafeltz now?
M1920|You'll experience some hard time talking to Hansenne... It'll be like testing your patience.
M1921|Come on, what's the hurry?
M1922|Wait a few more minutes, I didn't finish reading it!
M1923|I'm not sure if everyone from Arunafeltz is like him, but, it'll be like testing your patience to get Hansenne to read this thing.
M1924|You can trust me on that one. Good luck.
M1925|What is this stupid looking pile of documents?
M1926|Is this the file Ryosen requested from Hansenne??? The one which is all ruined...?
M1927|Ha! Tsk,tsk! Is this some kind of joke?! Who'd manage the files like this? I'd never know!
M1928|Whew... I can't even stand looking at it! Oh just, give it to me!
M1929|Too bad I'm not in Schwarzwald. I could use our document restoring machine back at home... Ugh! Now I gotta do everything manually.
M1930|Hmmm. It's completely soaked. I Should dry this thing first and iron these crumples. Then, I should restore the texts.
M1931|I need some materials. You gotta help me on this. I need ^0000ff1 Fan, 1 Old Frying Pan, 1 Flame Stone, 1 Chinese Ink^000000.
M1932|Hey, hey... don't look at me like that. I know you're not delighted to do these things but think about it, what about me? Why should I restore this garbage?
M1933|Listen, sometimes, we've got to do things we don't like in order to get things accomplished.
M1934|Just don't gorget that the file will be restored as fast as you prepare those things for me.
M1935|I wonder if the preparation for the meeting's going ok.
M1936|I heard Ryosen say that the file he requested from Hansenne is all ruined. I hope I dont get involved in that trouble.
